title,rating_ordinal
James and the Giant Peach,1
Invisible Man,0
Gone Girl,1
Blood River: A Journey to Africa's Broken Heart,1
Paradise Lost,0
All Creatures Great and Small,2
Graceling,1
The Complete Works,2
The Thirteenth Tale,1
Foundation,2
Norwegian Wood,1
The Things They Carried,1
The Cider House Rules,1
The Time Machine,1
Different Seasons,2
Kafka on the Shore,1
Heidi,1
Are You There God? It's Me Margaret,1
City of Lost Souls,2
Sophie's World,1
Walden,0
The Wise Man's Fear,2
The Awakening,0
Fangirl,1
Sophie's Choice,2
The Prince of Tides,2
Never Let Me Go,0
The Son of Neptune,2
Dead Until Dark,1
Fried Green Tomatoes at the Whistle Stop Cafe,2
Fifty Shades Darker,0
Ready Player One,2
Middlemarch,1
The Monster at the End of this Book,2
A Court of Mist and Fury,2
Things Fall Apart,0
Bridget Jones's Diary,0
Mrs. Dalloway,0
Mockingjay,1
Franny and Zooey,1
The Power of One,2
The Magician's Nephew,1
Stardust,1
A Time to Kill,1
The Gunslinger,1
Number the Stars,2
Do Androids Dream of Electric Sheep?,1
Allegiant,0
Eleanor & Park,1
A Short History of Nearly Everything,2
The Lord of the Rings,2
Me Before You,2
The Mark of Athena,2
The Art of Racing in the Rain,2
The Way of Kings,2
If I Stay,1
Black Beauty,1
Legend,2
The Hound of the Baskervilles,1
A Portrait of the Artist as a Young Man,0
Gulliver's Travels,0
Bel Canto,1
American Psycho,0
V for Vendetta,2
Love You Forever,2
The Witches,2
The Graveyard Book,1
The Complete Novels,2
Fifty Shades Freed,0
Cold Mountain,0
White Fang,1
Wonder,2
Beowulf,0
Tuck Everlasting,0
The Final Empire,2
Beautiful Creatures,0
Steppenwolf,1
Eldest,1
Dark Lover,2
Go Ask Alice,0
The Eye of the World,2
The Tell-Tale Heart and Other Writings,2
As I Lay Dying,0
A Separate Peace,0
The Complete Maus,2
Mansfield Park,0
The Amazing Adventures of Kavalier & Clay,2
Brisingr,1
A Child Called It,1
Stargirl,0
Tao Te Ching,2
Dear John,1
Midnight's Children,1
Obsidian,2
'Salem's Lot,1
The Martian Chronicles,2
Crescendo,1
The English Patient,0
East of Eden,2
Cloud Atlas,1
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,0
The Martian,2
The Firm,1
The Last Song,2
My Ántonia,0
Shatter Me,1
The Amber Spyglass,1
Doctor Zhivago,1
The Hunchback of Notre-Dame,1
Robinson Crusoe,0
Inferno,1
Like Water for Chocolate,1
Breakfast at Tiffany's and Three Stories,0
Room,1
Dragonfly in Amber,2
Breakfast of Champions,1
The BFG,2
Six of Crows,2
Harry Potter Series Box Set,2
The Origin of Species,1
A Fine Balance,2
Daughter of Smoke & Bone,1
The Strange Case of Dr. Jekyll and Mr. Hyde,0
City of Heavenly Fire,2
Evermore,0
The Subtle Knife,1
Death of a Salesman,0
11/22/63,2
The Plague,1
Midnight in the Garden of Good and Evil,1
A Streetcar Named Desire,1
Infinite Jest,2
The Prince,0
Hamlet,1
Faust First Part,1
Snow Flower and the Secret Fan,1
The Remains of the Day,1
Anna and the French Kiss,1
A Feast for Crows,2
The Angel Experiment,1
Miss Peregrine's Home for Peculiar Children,1
Matched,0
Flowers in the Attic,0
The Shipping News,0
Unbroken: A World War II Story of Survival Resilience and Redemption,2
The Scarlet Pimpernel,1
Hopeless,2
Jonathan Strange & Mr Norrell,0
The Chosen,1
High Fidelity,1
Blood Meridian or the Evening Redness in the West,2
All the Light We Cannot See,2
Houdini Heart,2
Artemis Fowl,0
Pippi Longstocking,1
The Tales of Beedle the Bard,1
The Virgin Suicides,0
The Reader,0
Nineteen Minutes,1
The House of Hades,2
Shantaram,2
The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,1
Redeeming Love,2
The Age of Innocence,1
The Host,0
The Lost Symbol,0
Neuromancer,1
Betrayed,1
Waiting for Godot,0
The Grapes of Wrath,1
Northanger Abbey,0
The Voyage of the Dawn Treader,1
Dubliners,0
Lover Awakened,2
War and Peace,1
A Court of Thorns and Roses,2
Divine Secrets of the Ya-Ya Sisterhood,0
The Waste Land,1
Untamed,1
Everything Is Illuminated,1
A Dance with Dragons,2
Crown of Midnight,2
To the Lighthouse,0
I Know Why the Caged Bird Sings,2
I Robot,2
The Twilight Collection,0
The Pearl,0
The One,2
The Jungle,0
Carrie,1
Snow Falling on Cedars,0
Voyager,2
I Claudius,2
Heir of Fire,2
Me Talk Pretty One Day,1
Chosen,1
A Room with a View,1
Bleak House,1
The Republic,1
The Last Battle,1
The Exorcist,2
The Elephant Tree,2
Coraline,1
The 5th Wave,1
The Iron King,1
Quantum Roots II: Worm Holes,2
Aristotle and Dante Discover the Secrets of the Universe,2
The Arabian Nights,1
The Complete Poems of Emily Dickinson,2
Torment,0
Bloodlines,2
Vanity Fair,0
Wizard's First Rule,1
North and South,1
Brideshead Revisited,1
The God Delusion,1
Pet Sematary,1
Of Human Bondage,1
Snow Crash,1
World War Z: An Oral History of the Zombie War,1
A Great and Terrible Beauty,0
Bared to You,2
The Witching Hour,1
The War of the Worlds,0
The Summoning,1
Cry the Beloved Country,1
Johnny Got His Gun,2
Chocolat,1
Halfway to the Grave,2
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,0
Perfect Chemistry,1
Red Queen,1
City of Glass,2
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,2
The Woman in White,1
Angels & Demons,1
Just Listen,1
2001: A Space Odyssey,2
The Truth About Forever,1
A Discovery of Witches,1
Unwind,2
Trainspotting,1
Are You My Mother?,2
Cannery Row,1
Much Ado About Nothing,1
Swann's Way,1
Sarah's Key,2
The Polar Express,2
Acheron,2
Lady Chatterley's Lover,0
The Elite,1
Silence,1
Ishmael,1
Nine Stories,2
The Unbecoming of Mara Dyer,1
The Return of the King,2
All the Bright Places,2
Into Thin Air: A Personal Account of the Mount Everest Disaster,2
Far From the Madding Crowd,1
The Zombie Room,2
I Am Number Four,1
Angelfall,1
Dead to the World,1
Persuasion,2
The Bronze Horseman,2
You Are Special,2
Sabriel,2
Cutting for Stone,2
Little House on the Prairie,2
Being and Time,1
The Goose Girl,1
I Capture the Castle,1
The Last Lecture,2
Ignite Me,2
The Glass Menagerie,0
Twelfth Night,1
The Darkest Minds,2
The Hours,1
Drums of Autumn,2
Wicked Lovely,0
P.S. I Love You,1
Queen of Shadows,2
Hunted,1
World Without End,2
A Christmas Carol,1
The Merchant of Venice,0
The Last Unicorn,2
Slammed,2
Little House in the Big Woods,2
Hyperion,2
No Country for Old Men,1
The Bean Trees,1
The Raven Boys,1
The Bad Beginning,1
Cyrano de Bergerac,1
Speaker for the Dead,1
The Westing Game,1
Interpreter of Maladies,2
The Red Pyramid,1
We Were Liars,0
The Goldfinch,1
All the King's Men,1
Julius Caesar,0
Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art Poetry and Prose,2
Anne of Avonlea,2
A Dog's Purpose,2
Peace Like a River,1
We Need to Talk About Kevin,1
The Silver Chair,1
A Monster Calls,2
The Wasp Factory,0
The Art of War,1
Poison Study,1
Mythology,1
The Two Towers,2
One Day in the Life of Ivan Denisovich,1
The Secret,0
The Queen of the Damned,1
Left Behind,0
The Eyre Affair,0
Inheritance,1
Before I Fall,1
The Talisman,1
Where She Went,1
Prince Caspian,1
The Memory Keeper's Daughter,0
The Knife of Never Letting Go,1
Shadowfever,2
Gone,0
Native Son,1
Seabiscuit: An American Legend,2
The Blind Assassin,1
The Killer Angels,2
Foucault's Pendulum,1
The Scorch Trials,1
Darkfever,1
The History of Love,1
If on a Winter's Night a Traveler,1
Sense and Sensibility,1
Pretties,0
The Bourne Identity,1
Words of Radiance,2
Possession,0
Gravity's Rainbow,1
A People's History of the United States,1
I Am Legend and Other Stories,1
A Brief History of Time,2
Night,2
Oedipus Rex,0
Scarlet,2
Alanna: The First Adventure,2
Watchers,2
John Adams,1
One for the Money,1
A Wizard of Earthsea,1
The Song of Achilles,2
Lover Unbound,2
Champion,2
The Haunting of Hill House,0
The Left Hand of Darkness,1
Assassin's Apprentice,2
I'll Give You the Sun,2
1Q84,1
The Night Before Christmas,2
The Yellow Wallpaper and Other Stories,1
The Magus,1
Oryx and Crake,1
Tempted,1
Cress,2
Inferno,0
A Breath of Snow and Ashes,2
Night Watch,2
A Heartbreaking Work of Staggering Genius,0
Veronika Decides to Die,0
Brainwalker,2
The Lies of Locke Lamora,2
Jitterbug Perfume,2
Papillon,2
Prodigal Summer,1
Corelli's Mandolin,1
I'd Tell You I Love You But Then I'd Have to Kill You,0
Matching Configurations: QUANTUM ROOTS III,2
The Fiery Cross,2
The Magic Mountain,1
The Sisterhood of the Traveling Pants,0
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,2
The Elegance of the Hedgehog,0
The Sirens of Titan,2
Cosmos,2
The Big Sleep,1
Grimm's Fairy Tales,1
Quantum Roots,2
Message in a Bottle,1
Crooked Kingdom,2
Bury My Heart at Wounded Knee: An Indian History of the American West,2
Prodigy,2
The Power of Myth,2
City of Ashes,2
The No. 1 Ladies' Detective Agency,0
Love Story,0
Glass Houses,1
Twenty Thousand Leagues Under the Sea,1
Confessions of a Shopaholic,0
Lover Revealed,2
Odd Thomas,1
The Edge of Never,2
Club Dead,1
Ivanhoe,0
Carry On,2
Princess Academy,1
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,1
The Nightingale,2
Ender's Shadow,2
The Aeneid,0
Unravel Me,2
Emma,1
Walk Two Moons,1
Angle of Repose,2
Lover Avenged,2
The Shell Seekers,2
The Corrections,0
The Bluest Eye,1
Anthem,0
The Witch of Blackbird Pond,1
Under the Dome,1
Living Dead in Dallas,1
The Omnivore's Dilemma: A Natural History of Four Meals,2
A Canticle for Leibowitz,1
The Jungle Books,1
Collected Fictions,2
One Day,0
The Story of My Life,1
Digital Fortress,0
Something Wicked This Way Comes,1
Linger,1
Geek Love,1
Cryptonomicon,2
The Portrait of a Lady,0
Because of Winn-Dixie,1
My Name Is Asher Lev,2
How to Win Friends and Influence People,2
Song of Solomon,1
Hard-Boiled Wonderland and the End of the World,2
Jude the Obscure,0
Red Rising,2
Macbeth,1
The Namesake,1
Empire of Storms,2
To All the Boys I've Loved Before,2
The Death Cure,0
Howards End,1
The Girl on the Train,1
Ficciones,2
It's Kind of a Funny Story,1
Fire,1
Death on the Nile,1
The Color of Magic,1
The Hero of Ages,2
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,2
The Sorrows of Young Werther,0
Still Alice,2
The Moon Is a Harsh Mistress,2
Choke,0
Battle Royale,2
Dandelion Wine,1
Mary Poppins,1
Finale,2
The Awakening,2
Gift from the Sea,2
Revolutionary Road,1
An Abundance of Katherines,0
Antigone,0
The Invention of Hugo Cabret,2
The Ocean at the End of the Lane,1
Small Gods,2
Tender Is the Night,0
Cold Sassy Tree,1
Nausea,1
The Passage,1
The Reckoning,2
Starship Troopers,1
The Poetry of Robert Frost,2
Ethan Frome,0
Exodus,2
The Restaurant at the End of the Universe,2
The Trigger: Hunting the Assassin Who Brought the World to War,1
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,1
The Gargoyle,1
Forrest Gump,1
The Sparrow,1
I Am the Messenger,1
The Hate U Give,2
Walking Disaster,2
Gabriel's Inferno,1
Dreamfever,2
Around the World in Eighty Days,1
The Hotel New Hampshire,1
Pale Fire,1
On Writing: A Memoir of the Craft,2
Daughter of the Forest,2
The Forgotten Garden,2
Illusions: The Adventures of a Reluctant Messiah,2
Wild Swans: Three Daughters of China,2
The Bridges of Madison County,0
Kane and Abel,2
Reflected in You,2
Specials,0
Absalom Absalom!,1
Shutter Island,1
Mort,2
The Golden Lily,2
One Foot in the Grave,2
A Million Little Pieces,0
Mystic River,2
The Dark Tower,2
The Blood of Olympus,2
Lover Mine,2
Burned,1
Guilty Pleasures,1
The City of Ember,0
Dead as a Doornail,1
The Glass Castle,2
Holy Bible: New International Version,2
Simon vs. the Homo Sapiens Agenda,2
Christy,2
The Lucky One,1
The Amulet of Samarkand,1
Crank,2
House of Leaves,1
The Hunt for Red October,1
Chasing the Devil: The Search for Africa's Fighting Spirit,1
Shadow and Bone,1
Orlando,0
Requiem for a Dream,1
A Connecticut Yankee in King Arthur's Court,0
The Agony and the Ecstasy,1
Pandemonium,1
84 Charing Cross Road,2
The Millennium Trilogy (Millennium Trilogy #1-3),2
The Story of Edgar Sawtelle,0
Factotum,1
How Green Was My Valley,2
Beauty: A Retelling of the Story of Beauty and the Beast,1
Where the Heart Is,1
A Walk in the Woods: Rediscovering America on the Appalachian Trail,1
Naked Lunch,0
The Fall,1
Still Life with Woodpecker,1
Night World No. 1,1
The House of Mirth,1
Will Grayson Will Grayson,0
Journey to the End of the Night,2
On the Beach,1
Thoughtless,1
The Long Walk,1
The Wedding,1
A Moveable Feast,1
Fablehaven,1
Lunar Park,0
Sometimes a Great Notion,2
The Murder of Roger Ackroyd,2
Easy,1
Beach Music,2
We,1
The Pact,1
The Awakening / The Struggle,0
Roll of Thunder Hear My Cry,0
Deception Point,0
Faefever,2
Onyx,2
Fantasy Lover,2
This Lullaby,1
Ugly Love,2
Sharp Objects,1
Passion,0
A Court of Wings and Ruin,2
Bitten,1
The 5 Love Languages: The Secret to Love that Lasts,2
Sapiens: A Brief History of Humankind,2
Meditations,2
From Dead to Worse,1
Wizard and Glass,2
Disgrace,0
The Fountainhead,0
Wings,0
All Together Dead,1
The Brief Wondrous Life of Oscar Wao,1
Dark Places,1
Silas Marner,0
The Rime of the Ancient Mariner,1
The Drawing of the Three,2
The Bhagavad Gita,1
These Is My Words: The Diary of Sarah Agnes Prine 1881-1901 Arizona Territories,2
Dead and Gone,1
Every Day,1
The Horse Whisperer,0
The Maltese Falcon,1
The Man Without Qualities,2
Skagboys,1
Childhood's End,1
Tiger's Curse,1
Redwall,1
Thus Spoke Zarathustra,1
Safe Haven,2
The Iliad,0
All the Pretty Horses,1
The Razor's Edge,2
Into the Wild,2
The Ruins of Gorlan,2
The Runaway Jury,1
Call Me By Your Name,2
Hex Hall,1
Unearthly,1
The Well of Ascension,2
Light in August,1
The Guardian,2
White Noise,0
Along for the Ride,1
The Story of Ferdinand,2
A Passage to India,0
Dead Witch Walking,1
Beastly,0
The Far Pavilions,2
At Grave's End,2
The Man in the High Castle,0
A Bend in the Road,1
Love is the Answer God is the Cure: A True Story of Abuse Betrayal and Unconditional Love,2
The Indigo Spell,2
Walks Away Woman,2
Blue Bloods,0
The Assassin's Blade,2
Suzanne's Diary for Nicholas,2
A Doll's House,0
The Taming of the Shrew,0
Eleven Minutes,0
Smilla's Sense of Snow,0
The Devil Wears Prada,0
A Study in Scarlet,2
An Ember in the Ashes,2
Anansi Boys,1
A Little Life,2
Songs of Innocence and of Experience,1
The Tempest,0
The Dispossessed,2
Lover Enshrined,1
The Pilgrim's Progress,1
Running with Scissors,0
Forbidden,1
The Great Divorce,2
The Client,1
The Iron Queen,2
The Last of the Mohicans,0
Across the Universe,0
Hatchet,0
Point of Retreat,2
Birdsong: A Novel of Love and War,1
Hogfather,2
Gödel Escher Bach: An Eternal Golden Braid,2
Let the Right One In,1
Nightshade,1
Storm Front,1
Lock and Key,1
Valley of the Dolls,0
The Short Second Life of Bree Tanner,0
The Kitchen God's Wife,1
Eugene Onegin,1
Evernight,0
Between Shades of Gray,2
We Have Always Lived in the Castle,1
Magician,2
Dirk Gently's Holistic Detective Agency,1
Animal Farm / 1984,2
Fingersmith,1
The Past,2
On Dublin Street,2
The Collector,1
Cry Wolf,1
Swan Song,2
Memnoch the Devil,0
Helter Skelter: The True Story of the Manson Murders,1
The Winds of War,2
The Iron Daughter,1
A River Runs Through it and Other Stories,2
The Stinky Cheese Man and Other Fairly Stupid Tales,2
The Mysterious Benedict Society,2
The Valley of Horses,1
Twenty Love Poems and a Song of Despair,2
School's Out—Forever,2
Saving the World and Other Extreme Sports,2
Rules of Attraction,2
Percy Jackson and the Olympians,2
Tales of H.P. Lovecraft,2
Invisible Cities,1
A Darker Shade of Magic,1
Everything Everything,1
Timeline,0
This Present Darkness,2
Go Dog. Go!,1
Practical Magic,0
Blue Moon,0
Life the Universe and Everything,2
For One More Day,1
Tropic of Cancer,0
Till We Have Faces,2
The Absolutely True Diary of a Part-Time Indian,1
Bloodfever,2
Awakened,1
A Scanner Darkly,1
The Way of Shadows,2
The Tin Drum,1
Half-Blood,1
Fall on Your Knees,1
Winter,2
The Immortal Life of Henrietta Lacks,1
Archer's Voice,2
A Dirty Job,1
Origin,2
The Forty Rules of Love,2
Switched,0
A Town Like Alice,2
Kushiel's Dart,1
Stones from the River,1
Una Historia de Ayer,2
More Than Love A Husband's Tale,2
Inkspell,1
The Complete Persepolis,2
Zorba the Greek,1
The Turn of the Screw,0
Lady Midnight,2
The Crying of Lot 49,0
Forever,1
Jaws,1
Dodging Satan: My Irish/Italian Sometimes Awesome But Mostly Creepy Childhood,2
Starcrossed,1
Outliers: The Story of Success,2
The Waves,2
And the Mountains Echoed,1
The Decameron,0
The Color of Water: A Black Man's Tribute to His White Mother,1
Brave New World / Brave New World Revisited,2
Before I Go to Sleep,1
Germinal,2
Mother Night,2
Destined for an Early Grave,2
A Room of One's Own,2
The Tale of Despereaux,1
The Rescue,1
The Tale of Genji,0
Chronicle of a Death Foretold,1
Pleasant Day,2
Empire Falls,1
Nights in Rodanthe,0
Hearts in Atlantis,0
Fallen Too Far,2
The Beekeeper's Apprentice,1
The Quiet American,1
Red Dragon,1
Year of Wonders,1
Harriet the Spy,1
The Accidental Tourist,1
The Time Quartet Box Set,2
The Red Badge of Courage,0
Exotic Neurotic,2
The Day of the Triffids,1
The Dragon Reborn,2
The Raven and Other Poems,2
The Evolution of Mara Dyer,2
The Blade Itself,2
Needful Things,1
The Throne of Fire,2
Batman: The Dark Knight Returns,2
Alias Grace,1
On the Jellicoe Road,1
Going Postal,2
Hopscotch,2
The Choice,1
The Red and the Black,0
Pretty Little Liars,0
Under the Never Sky,1
The Book of Disquiet: The Complete Edition,2
The Dead Zone,1
Stoner,2
The Complete Anne of Green Gables Boxed Set,2
Love Rosie,1
The Glass Bead Game,1
Night World No. 2,2
The Celestine Prophecy,0
Hawaii,2
The Gormenghast Novels,1
Inkdeath,1
The Pelican Brief,1
Tai-Pan,2
Bastard Out of Carolina,1
The Alchemyst,0
Halo,0
The Silver Linings Playbook,1
Sweet Evil,1
Fifty Shades Trilogy,1
The Spy Who Came In from the Cold,1
Eclipse,0
Les Fleurs du Mal,2
Memoirs of Hadrian,2
White Teeth,0
Breaking Dawn,0
The Angel's Game,1
Effortless,2
Garden Spells,1
The Immortal Rules,1
The Heart of Aleppo: A Story of the Syrian Civil War,2
Anne of the Island,2
Losing Hope,2
Villette,0
Magic Bites,1
The Selfish Gene,2
Missing Wings: Chronicles of the Aranysargas (Aranysargas #1),2
Wait for You,2
Rant,0
The Princess Diaries,0
The Octunnumi Fosbit Files Prologue,2
The Blue Castle,2
The French Lieutenant's Woman,0
El Diablo,1
America's Daughter (Dancing Soul Trilogy #2),2
Cross My Heart and Hope to Spy,1
The Tenant of Wildfell Hall,1
Naked in Death,1
Max,1
Beautiful Darkness,0
The Satanic Verses,0
Metamorphoses,1
Alexander and the Terrible Horrible No Good Very Bad Day,2
A New Earth: Awakening to Your Life's Purpose,1
City of Thieves,2
Stolen: A Letter to My Captor,1
Fall of Giants,2
Just So Stories,1
Old Yeller,1
Quo Vadis,2
Broken Promises (Past Imperfect Mystery Book 1),2
Guards! Guards!,2
The Present,2
Something Borrowed,0
Born at Midnight,1
A Man Called Ove,2
Elantris,2
Gilead,0
Extras,0
Ragtime,0
Perdido Street Station,1
The Blue Sword,2
The Sky Is Everywhere,1
The Diamond Age: Or A Young Lady's Illustrated Primer,2
The Complete Fairy Tales,2
The Life and Opinions of Tristram Shandy Gentleman,0
Rapture,1
What Is the What,2
Haunted,0
Iron Kissed,2
The Tipping Point: How Little Things Can Make a Big Difference,1
Illuminae,2
Three Men in a Boat,0
An Echo in the Bone,2
An American Tragedy,1
Tiger's Voyage,2
It Ends with Us,2
Ink Exchange,0
Fantastic Beasts and Where to Find Them,1
The House of the Scorpion,1
The Waste Lands,2
The Pandarus File,2
Darkness at Noon,1
Black Like Me,1
Cheaper by the Dozen,1
The End of the Affair,1
The Thief Lord,1
The Serpent's Shadow,2
If You Give a Mouse a Cookie,2
Diary of a Wimpy Kid,1
The White Tiger,0
The Fury / Dark Reunion,0
Out of My Mind,2
Hiroshima,1
New Moon,0
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,0
The Winter of Our Discontent,1
Among the Hidden,1
The Dream Thieves,2
Solaris,1
Wintergirls,1
River God,2
Pawn of Prophecy,2
Burned,2
The Dharma Bums,1
A Long Way Gone: Memoirs of a Boy Soldier,2
The Great Hunt,2
Imajica,2
Pushing the Limits,1
The Prime of Miss Jean Brodie,0
The Warded Man,2
